0,1,2,3,4,5,6,7,8,9,10,11
#paulomorais2016,#EdgarSilva,#henriquene…,#Marisa,#belém,#SampaioDaNóvoa,#JORGESEQUEIRAPRESIDENTE,#portugalcomtino,,#marcelo,#eleições,
#paulo…,#edgarsilva,#HenriqueNeto,#Marisa2016,#Belém2016,#sampaiodanóvoa,#sequeira,#tino,,#Marcelo,#embomportugues,
#paulo…,#jeronimodesousa,#henriqueneto,#marisa2016,#belem2016,#Sampaiodanóvoa?,#JorgeSequeira,#tino2016,,#Marcelo.,#engagement,
#PauloMorais,#PCP,#henriquene…,#marisa2016...,#Belem2016,#sampaiodanovoa,,#tinoderans,,#Marcelo...,#españa,
,#pcp,,#marisa2016…,#MariaDeBelém,#SampaioDaNovoa,,#tinopresidente,,#marceloéfixe,#espinho,
,,,#marisa20…,#MariadeBelém,#sampaiodanovoa2016,,#VotaTino,,#Marcelo2016,#euqueroumrei,
,,,#marisa2…,#MariadeBelem,#novoa,,#ConsuladoDePortugalEmValenciaJa,,#MarceloBailarino,#fb,
,,,#marisamatias,#ManuelAlegre,#Soares,,#ConsuladoEmValenciaJa,,#marcelorebelodesousa,#feira,
,,,#MarisaMatias,#votomari…,#snap,,#ConsuladoEmValenciaJA,,#MarceloRebeloSousa,#FHF2021,
,,,#MarsaPresidente,#votomar…,#SNAP,,#PortugalComTino,,#marceloroadtrip,#FIFABallonDor,
,,,#VotoMarisa,#belém,#SNAP2016,,#vototino,,#PSD,#gostos,
,,,#votomarisa,#Belém2016,#snap2016,,#TinoBem,,#jsd,#,
,,,#votoMarisa,#belem,#snap2016pr,,#tinoderanz,,#jsdcaldasdarainha,#Évora!,
,,,#votomarisa...,#MariadeBelém,#SampaioDaNóvoa,,#tinobem,,#marceloéfixe,#20D,
,,,#VotaMarisa,#MariaDeBelém,#SampaiodaNóvoa,,#PortugalcomTino,,#marceloéfixe…,#24E,
,,,#marisa2016…,#mariadebelem,#sampaiodanóvoa,,#Tino,,,#aferros,
,,,#marisa20…,,#SampaiodaNóvoa,,#TinoDoPovo,,,#AfirmarAbril,
,,,#marisa2…,,#Sampaiodanóvoa?,,,,,#DavidBowie,
,,,#Marisa!,,#SampaiodaNóvoa,,,,,#descriminação,
,,,,,#Nóvoa,,,,,#Diario,
,,,,,#Novoa,,,,,#Legislativas2015,
,,,,,,,,,,#Política,
,,,,,,,,,,#política,
,,,,,,,,,,#politica,
,,,,,,,,,,#pontedelima,
,,,,,,,,,,#porto,
,,,,,,,,,,#Porto!,
,,,,,,,,,,#Porto:,
,,,,,,,,,,#Portugal,
,,,,,,,,,,#portugal,
,,,,,,,,,,#Portugal2016,
,,,,,,,,,,#MarketingDigital,
,,,,,,,,,,#media,
,,,,,,,,,,#leiria,
,,,,,,,,,,#Leiria.,
,,,,,,,,,,#LemasDeCampanha,
,,,,,,,,,,#lemasdecampanha,
,,,,,,,,,,#letthebestjinglewin,
,,,,,,,,,,#Lisboa.,
,,,,,,,,,,#manteigaPT,
,,,,,,,,,,#Presidência,
,,,,,,,,,,#Presidênciais2016,
,,,,,,,,,,#presidenciais,
,,,,,,,,,,#PRESIDENCIAIS2016,
,,,,,,,,,,#Presidenciais2016,
,,,,,,,,,,#presidenciais2016,
,,,,,,,,,,#presidenciais2016,
,,,,,,,,,,#Presidenciais2016.,
,,,,,,,,,,#presidenciais2016.,
,,,,,,,,,,#PRESIDENCIAIS2016.,
,,,,,,,,,,#presidenciais2016...,
,,,,,,,,,,#Presidenciais2016...,
,,,,,,,,,,#Presidenciais2016:,
,,,,,,,,,,#Presidenciais2016?,
,,,,,,,,,,#presidenciais2016?,
,,,,,,,,,,#presidenciais2016…,
,,,,,,,,,,#presidenciais201…,
,,,,,,,,,,#presidenciais20…,
,,,,,,,,,,#presidenciais2…,
,,,,,,,,,,#presidenciais…,
,,,,,,,,,,#presidencia…,
,,,,,,,,,,#presidencias,
,,,,,,,,,,#presiden…,
,,,,,,,,,,#Presidente,
,,,,,,,,,,#Portugal…,
,,,,,,,,,,#PORTUGALSOMOSNOS,
,,,,,,,,,,#Portugueses,
,,,,,,,,,,#Portu…,
,,,,,,,,,,#precipitei_me,
,,,,,,,,,,#pre…,
,,,,,,,,,,#SouPortuguesEEspanhol,
,,,,,,,,,,#sporting,
,,,,,,,,,,#youtube,
,,,,,,,,,,#braga,
,,,,,,,,,,#braga,
,,,,,,,,,,#bragança,
,,,,,,,,,,#Brasil,
,,,,,,,,,,#voto2016,
,,,,,,,,,,#votaNuloOuXulo,
,,,,,,,,,,#VascoSantana,
,,,,,,,,,,#universidade,
,,,,,,,,,,#truecolours,
,,,,,,,,,,#UE,
,,,,,,,,,,#algarve,
,,,,,,,,,,#alhosvedros,
,,,,,,,,,,#Amarante,
,,,,,,,,,,#Angola,
,,,,,,,,,,#aparte,
,,,,,,,,,,#apitodourado?,
,,,,,,,,,,#Aveiro.,
,,,,,,,,,,#azeitão.,
,,,,,,,,,,#BallondOr,
,,,,,,,,,,#Beja,
,,,,,,,,,,#bibliotecas,
,,,,,,,,,,#BlueMonday,
,,,,,,,,,,#BoaPiada,
,,,,,,,,,,#caçaaopirilampo,
,,,,,,,,,,#caldasdarainha,
,,,,,,,,,,#campanhatvi24,
,,,,,,,,,,#Catavento!,
,,,,,,,,,,#cmtv,
,,,,,,,,,,#Coimbra,
,,,,,,,,,,#coimbra,
,,,,,,,,,,#comicioporto,
,,,,,,,,,,#HomemDoBussaco,
,,,,,,,,,,#humor,
,,,,,,,,,,#illustration,
,,,,,,,,,,#imagensdecampanha,
,,,,,,,,,,#jaEnterraste,
,,,,,,,,,,#Jonas🔫,
,,,,,,,,,,#Moura,
,,,,,,,,,,#nortondematos,
,,,,,,,,,,#presidentepresente,
,,,,,,,,,,#preside…,
,,,,,,,,,,#presid…,
,,,,,,,,,,#pr…,
,,,,,,,,,,#PutosPoliticos,
,,,,,,,,,,#QueroVotar,
,,,,,,,,,,#rcn,
,,,,,,,,,,#RCNRadio,
,,,,,,,,,,#Repost,
,,,,,,,,,,#rt,
,,,,,,,,,,#seguidores,
,,,,,,,,,,#Selfie,
,,,,,,,,,,#semfiltros,
,,,,,,,,,,#Setubal,
,,,,,,,,,,#sicnacampanha,
,,,,,,,,,,#SillySeason?,
,,,,,,,,,,#sketch,
,,,,,,,,,,#sloganpresidenciais,
,,,,,,,,,,#oDesafio,
,,,,,,,,,,#OReComendador,
,,,,,,,,,,#oteupaísnastuasmãos,
,,,,,,,,,,#overdadeiroartistadapropaganda,
,,,,,,,,,,#PátioDasCantigas,
,,,,,,,,,,#ParecidosRazonables,
,,,,,,,,,,#patais,
,,,,,,,,,,#Penafiel,
,,,,,,,,,,#JRL,
,,,,,,,,,,#presidentecamaleao,
,,,,,,,,,,#presidentefuracao,
,,,,,,,,,,#vichycoiso,
,,,,,,,,,,#vidadeilhéu,
,,,,,,,,,,#video,
,,,,,,,,,,#vilareal,
,,,,,,,,,,#vivaoalgarve,
,,,,,,,,,,#Judas,
,,,,,,,,,,#juntosporportugal,
,,,,,,,,,,#mftvi24,
,,,,,,,,,,#Mirandela.,
,,,,,,,,,,#monarquia,
,,,,,,,,,,#…,
,,,,,,,,,,#p…,
,,,,,,,,,,#Podemos,
,,,,,,,,,,#v…,
,,,,,,,,,,#vo…,
,,,,,,,,,,#vot…,
,,,,,,,,,,#votom…,
,,,,,,,,,,#voto…,
,,,,,,,,,,#Éisto,
,,,,,,,,,,#Évora!,
,,,,,,,,,,#AcordoOrtográfico,
,,,,,,,,,,#africa,
,,,,,,,,,,#Algarve,
,,,,,,,,,,#amacompanha,
,,,,,,,,,,#amenacavaqueira,
,,,,,,,,,,#amostra,
,,,,,,,,,,#arruadas,
,,,,,,,,,,#azeitão.,
,,,,,,,,,,#Benfica,
,,,,,,,,,,#Benim:,
,,,,,,,,,,#Benin,
,,,,,,,,,,#betacaralhudosan,
,,,,,,,,,,#beta…,
,,,,,,,,,,#BlastingNews,
,,,,,,,,,,#braga,
,,,,,,,,,,#bragança,
,,,,,,,,,,#Brasil,
,,,,,,,,,,#Brava,
,,,,,,,,,,#caçaaopirilampo,
,,,,,,,,,,#campanha,
,,,,,,,,,,#candidatos,
,,,,,,,,,,#ca…,
,,,,,,,,,,#CNE,
,,,,,,,,,,#CR7,
,,,,,,,,,,#CristianoRonaldo,
,,,,,,,,,,#dayumbetauhu,
,,,,,,,,,,#denada,
,,,,,,,,,,#descriminação,
,,,,,,,,,,#DespertaTransamérica,
,,,,,,,,,,#dnoticias,
,,,,,,,,,,#economia,
,,,,,,,,,,#Economico,
,,,,,,,,,,#Edgar,
,,,,,,,,,,#Edgar_Silva,
,,,,,,,,,,#Edgar_Silva:,
,,,,,,,,,,#EdilsonVuelma,
,,,,,,,,,,#eleições,
,,,,,,,,,,#Eleições,
,,,,,,,,,,#eleiçõespresidenciais,
,,,,,,,,,,#EMN,
,,,,,,,,,,#españa,
,,,,,,,,,,#ESQUERDAS:,
,,,,,,,,,,#Estrumeira,
,,,,,,,,,,#Estudantes,
,,,,,,,,,,#Expresso,
,,,,,,,,,,#Expresso_Manchete,
,,,,,,,,,,#FalaRN,
,,,,,,,,,,#feedbrasil,
,,,,,,,,,,#Finanças,
,,,,,,,,,,#flat,
,,,,,,,,,,#Forex,
,,,,,,,,,,#gays,
,,,,,,,,,,#Geral,
,,,,,,,,,,#GloboNotíciaAméricas,
,,,,,,,,,,#Golpe,
,,,,,,,,,,#GoogleNewsPortugal,
,,,,,,,,,,#governosombra,
,,,,,,,,,,#tvi,
,,,,,,,,,,#tvi,
,,,,,,,,,,#TVI24,
,,,,,,,,,,#tvi24,
,,,,,,,,,,#vidadeilhéu,
,,,,,,,,,,#v…,
,,,,,,,,,,#vo…,
,,,,,,,,,,#vot…,
,,,,,,,,,,#votomari…,
,,,,,,,,,,#votomar…,
,,,,,,,,,,#votom…,
,,,,,,,,,,#voto…,
,,,,,,,,,,#womenleaders,
,,,,,,,,,,#sapoavotos,
,,,,,,,,,,#SDV,
,,,,,,,,,,#sdv,
,,,,,,,,,,#senado,
